Date,Confirmed_cases
"24 January, 2020",0
"25 January, 2020",3
"26 January, 2020",4
"27 January, 2020",4
"28 January, 2020",4
"29 January, 2020",7
"30 January, 2020",7
"31 January, 2020",8
"1 February, 2020",8
"2 February, 2020",8
"3 February, 2020",8
"4 February, 2020",8
"5 February, 2020",10
"6 February, 2020",12
"7 February, 2020",14
"8 February, 2020",15
"9 February, 2020",16
"10 February, 2020",18
"11 February, 2020",18
"12 February, 2020",18
"13 February, 2020",18
"14 February, 2020",19
"15 February, 2020",21
"16 February, 2020",22
"17 February, 2020",22
"18 February, 2020",22
"19 February, 2020",22
"20 February, 2020",22
"21 February, 2020",22
"22 February, 2020",22
"23 February, 2020",22
"24 February, 2020",22
"25 February, 2020",22
"26 February, 2020",22
"27 February, 2020",22
"28 February, 2020",23
"29 February, 2020",25
"1 March, 2020",25
"2 March, 2020",29
"3 March, 2020",29
"4 March, 2020",36
"5 March, 2020",50
"6 March, 2020",50
"7 March, 2020",83
"8 March, 2020",93
"9 March, 2020",99
"10 March, 2020",117
"11 March, 2020",129
"12 March, 2020",149
"13 March, 2020",158
"14 March, 2020",197
"15 March, 2020",238
"16 March, 2020",428
"17 March, 2020",553
"18 March, 2020",673
"19 March, 2020",790
"20 March, 2020",900
"21 March, 2020",1030
"22 March, 2020",1183
"23 March, 2020",1306
"24 March, 2020",1518
"25 March, 2020",1624
"26 March, 2020",1796
"27 March, 2020",2031
"28 March, 2020",2161
"29 March, 2020",2320
"30 March, 2020",2470
"31 March, 2020",2626
"1 April, 2020",2766
"2 April, 2020",2908
"3 April, 2020",3116
"4 April, 2020",3333
"5 April, 2020",3483
"6 April, 2020",3662
"7 April, 2020",3793
"8 April, 2020",3963
"9 April, 2020",4119
"10 April, 2020",4228
"11 April, 2020",4346
"12 April, 2020",4530
"13 April, 2020",4683
"14 April, 2020",4817
"15 April, 2020",4987
"16 April, 2020",5072
"17 April, 2020",5182
"18 April, 2020",5251
"19 April, 2020",5305
"20 April, 2020",5389
"21 April, 2020",5425
"22 April, 2020",5482
"23 April, 2020",5532
"24 April, 2020",5603
"25 April, 2020",5691
"26 April, 2020",5742
"27 April, 2020",5780
"28 April, 2020",5820
"29 April, 2020",5851
"30 April, 2020",5945
"1 May, 2020",6002
"2 May, 2020",6071
"3 May, 2020",6176
"4 May, 2020",6298
"5 May, 2020",6353
"6 May, 2020",6383
"7 May, 2020",6428
"8 May, 2020",6467
"9 May, 2020",6535
"10 May, 2020",6589
"11 May, 2020",6656
"12 May, 2020",6726
"13 May, 2020",6742
"14 May, 2020",6779
"15 May, 2020",6819
"16 May, 2020",6855
"17 May, 2020",6872
"18 May, 2020",6894
"19 May, 2020",6941
"20 May, 2020",6978
"21 May, 2020",7009
"22 May, 2020",7059
"23 May, 2020",7137
"24 May, 2020",7185
"25 May, 2020",7245
"26 May, 2020",7417
"27 May, 2020",7604
"28 May, 2020",7619
"29 May, 2020",7629
"30 May, 2020",7732
"31 May, 2020",7762
"1 June, 2020",7819
"2 June, 2020",7857
"3 June, 2020",7877
"4 June, 2020",7970
"5 June, 2020",7970
"6 June, 2020",8266
"7 June, 2020",8303
"8 June, 2020",8322
"9 June, 2020",8329
"10 June, 2020",8336
"11 June, 2020",8338
"12 June, 2020",8369
"13 June, 2020",8402
"14 June, 2020",8445
"15 June, 2020",8453
"16 June, 2020",8494
"17 June, 2020",8505
"18 June, 2020",8515
"19 June, 2020",8529
"20 June, 2020",8535
"21 June, 2020",8556
"22 June, 2020",8572
"23 June, 2020",8587
"24 June, 2020",8590
"25 June, 2020",8596
"26 June, 2020",8600
"27 June, 2020",8606
"28 June, 2020",8616
"29 June, 2020",8634
"30 June, 2020",8637
"1 July, 2020",8639
"2 July, 2020",8640
"3 July, 2020",8643
"4 July, 2020",8648
"5 July, 2020",8658
"6 July, 2020",8658
"7 July, 2020",8668
"8 July, 2020",8674
"9 July, 2020",8677
"10 July, 2020",8683
"11 July, 2020",8696
"12 July, 2020",8704
"13 July, 2020",8718
"14 July, 2020",8725
"15 July, 2020",8729
"16 July, 2020",8734
"17 July, 2020",8737
"18 July, 2020",8755
"19 July, 2020",8764
"20 July, 2020",8779
"21 July, 2020",8800
"22 July, 2020",8815
"23 July, 2020",8831
"24 July, 2020",8840
"25 July, 2020",8861
"26 July, 2020",8884
"27 July, 2020",8897
